Treatments,mOD_min_mg_protein,Block
CT,147.622,1
CT,217.646,2
CT,80.069,3
CT,147.521,4
CT,129.223,5
CT,170.981,6
CT,87.76,7
CT,44.24,8
CT,46.678,9
MU,1742.651,1
MU,1315.073,2
MU,480.796,3
MU,940.834,4
MU,1302.136,5
MU,1541.478,6
MU,1677.373,7
MU,760.794,8
MU,2985.522,9
PT,950.145,1
PT,3135.009,2
PT,1361.769,3
PT,670.16,4
PT,1757.792,5
PT,1122.006,6
PT,1264.607,7
PT,1726.936,8
PT,1174.709,9
WT,1242.152,1
WT,2122.574,2
WT,656.593,3
WT,1971.23,4
WT,1245.791,5
WT,914.612,6
WT,737.071,7
WT,1305.175,8
WT,1249.733,9
