Treatments,mOD_min_mg_protein,Block,Trials
CT,33.122,1,1
CT,634.014,2,1
CT,110.725,3,1
CT,106.578,4,1
CT,137.078,5,1
CT,116.535,6,1
MU,7621.053,1,1
MU,14162.138,2,1
MU,3524.96,3,1
MU,4098.319,4,1
MU,60206.324,5,1
MU,11584.183,6,1
PT,6950.837,1,1
PT,1419.975,2,1
PT,1139.011,3,1
PT,687.868,4,1
PT,1633.86,5,1
PT,2286.826,6,1
WT,3402.811,1,1
WT,1609.549,2,1
WT,1598.481,3,1
WT,5132.725,4,1
WT,595.307,5,1
WT,6114.209,6,1
CT,57.206,1,2
CT,773.145,2,2
CT,88.674,3,2
CT,143.786,4,2
CT,303.032,5,2
CT,112.522,6,2
MU,486.385,1,2
MU,1682.15,2,2
MU,3229.947,3,2
MU,10390.401,4,2
MU,2182.668,5,2
MU,1097.379,6,2
PT,561.938,1,2
PT,1103.545,2,2
PT,328.489,3,2
PT,1081.969,4,2
PT,1107.636,5,2
PT,654.726,6,2
WT,749.365,1,2
WT,1561.576,2,2
WT,1640.161,3,2
WT,1596.819,4,2
WT,1972.36,5,2
WT,686.158,6,2
CT,23.46,1,3
CT,78.962,2,3
CT,125.569,3,3
CT,95.294,4,3
CT,72.48,5,3
CT,128.003,6,3
CT,36.069,7,3
CT,141.643,8,3
CT,27.795,9,3
CT,66.019,10,3
MU,1685.168,1,3
MU,616.986,2,3
MU,2208.329,3,3
MU,2985.141,4,3
MU,1465.466,5,3
MU,305.391,6,3
MU,5239.19,7,3
MU,11961.718,8,3
MU,1930.97,9,3
MU,2598.608,10,3
PT,1459.807,1,3
PT,993.342,2,3
PT,1195.444,3,3
PT,1391.644,4,3
PT,1777.99,5,3
PT,1594.217,6,3
PT,158.094,7,3
PT,1982.911,8,3
PT,1578.709,9,3
PT,1095.838,10,3
WT,988.397,1,3
WT,1156.137,2,3
WT,10424.32,3,3
WT,897.292,4,3
WT,937.739,5,3
WT,8320.791,6,3
WT,2462.678,7,3
WT,559.083,8,3
WT,608.979,9,3
WT,1017.136,10,3
