Treatments,mOD_min_mg_protein,Block,Trials 
CT,147.622,1,1
CT,217.646,2,1
CT,80.069,3,1
CT,147.521,4,1
CT,129.223,5,1
CT,170.981,6,1
CT,87.76,7,1
CT,44.24,8,1
CT,46.678,9,1
MU,1742.651,1,1
MU,1315.073,2,1
MU,480.796,3,1
MU,940.834,4,1
MU,1302.136,5,1
MU,1541.478,6,1
MU,1677.373,7,1
MU,760.794,8,1
MU,2985.522,9,1
PT,950.145,1,1
PT,3135.009,2,1
PT,1361.769,3,1
PT,670.16,4,1
PT,1757.792,5,1
PT,1122.006,6,1
PT,1264.607,7,1
PT,1726.936,8,1
PT,1174.709,9,1
WT,1242.152,1,1
WT,2122.574,2,1
WT,656.593,3,1
WT,1971.23,4,1
WT,1245.791,5,1
WT,914.612,6,1
WT,737.071,7,1
WT,1305.175,8,1
WT,1249.733,9,1
CT,24.147,1,2
CT,336.612,2,2
CT,67.855,3,2
CT,111.176,4,2
CT,58.166,5,2
CT,157.525,6,2
CT,213.554,7,2
CT,142.273,8,2
CT,110.531,9,2
CT,144.796,10,2
MU,2127.466,1,2
MU,3592.195,2,2
MU,2624.901,3,2
MU,1689.581,4,2
MU,2194.048,5,2
MU,1849.14,6,2
MU,3268.58,7,2
MU,4910.432,8,2
MU,1564.6,9,2
MU,4559.916,10,2
PT,1370.755,1,2
PT,2920.776,2,2
PT,1675.856,3,2
PT,1453.837,4,2
PT,1627.508,5,2
PT,1853.438,6,2
PT,2283.746,7,2
PT,1317.567,8,2
PT,2437.114,9,2
PT,1547.246,10,2
WT,5932.716,1,2
WT,1612.92,2,2
WT,10589.728,3,2
WT,2889.498,4,2
WT,5437.279,5,2
WT,3376.966,6,2
WT,6418.184,7,2
WT,1974.029,8,2
WT,4234.083,9,2
WT,1547.981,10,2
