Treatments,mOD_min_mg_protein,Block
CT,24.147,1
CT,336.612,2
CT,67.855,3
CT,111.176,4
CT,58.166,5
CT,157.525,6
CT,213.554,7
CT,142.273,8
CT,110.531,9
CT,144.796,10
MU,2127.466,1
MU,3592.195,2
MU,2624.901,3
MU,1689.581,4
MU,2194.048,5
MU,1849.14,6
MU,3268.58,7
MU,4910.432,8
MU,1564.6,9
MU,4559.916,10
PT,1370.755,1
PT,2920.776,2
PT,1675.856,3
PT,1453.837,4
PT,1627.508,5
PT,1853.438,6
PT,2283.746,7
PT,1317.567,8
PT,2437.114,9
PT,1547.246,10
WT,5932.716,1
WT,1612.92,2
WT,10589.728,3
WT,2889.498,4
WT,5437.279,5
WT,3376.966,6
WT,6418.184,7
WT,1974.029,8
WT,4234.083,9
WT,1547.981,10
