Treatments,mOD_min_mg_protein,Block,Trials
CT,8197.464,1,1
CT,28118.367,2,1
CT,8967.264,3,1
CT,18697.144,4,1
CT,12186.571,5,1
CT,4428.987,6,1
MU,19361.943,1,1
MU,55705.199,2,1
MU,16174.772,3,1
MU,17961.942,4,1
MU,241148.098,5,1
MU,54915.746,6,1
PT,24424.115,1,1
PT,7629.908,2,1
PT,8875.847,3,1
PT,7977.766,4,1
PT,8762.653,5,1
PT,21635.291,6,1
WT,21779.558,1,1
WT,6474.271,2,1
WT,5895.236,3,1
WT,12893.872,4,1
WT,11035.637,5,1
WT,27600.448,6,1
CT,7126.906,1,2
CT,12983.973,2,2
CT,3063.61,3,2
CT,3564.78,4,2
CT,4944.984,5,2
CT,2999.592,6,2
MU,4367.934,1,2
MU,11393.758,2,2
MU,14344.481,3,2
MU,72271.944,4,2
MU,8550.242,5,2
MU,9025.3,6,2
PT,4453.603,1,2
PT,9987.914,2,2
PT,6058.846,3,2
PT,5631.057,4,2
PT,3349.522,5,2
PT,6204.807,6,2
WT,6234.861,1,2
WT,12384.21,2,2
WT,10326.962,3,2
WT,10201.416,4,2
WT,16275.422,5,2
WT,4701.42,6,2
CT,2429.067,1,3
CT,3338.091,2,3
CT,4262.504,3,3
CT,5966.924,4,3
CT,3885.546,5,3
CT,5205.907,6,3
CT,5646.241,7,3
CT,8837.594,8,3
CT,4210.278,9,3
CT,3820.776,10,3
MU,4432.31,1,3
MU,4059.193,2,3
MU,7766.46,3,3
MU,8378.824,4,3
MU,3838.14,5,3
MU,4508.641,6,3
MU,29632.935,7,3
MU,11336.097,8,3
MU,2960.285,9,3
MU,9843.848,10,3
PT,6294.721,1,3
PT,3063.95,2,3
PT,7957.155,3,3
PT,7752.853,4,3
PT,10603.619,5,3
PT,8386.886,6,3
PT,5123.225,7,3
PT,20049.02,8,3
PT,4962.208,9,3
PT,6075.382,10,3
WT,5086.179,1,3
WT,3078.072,2,3
WT,66444.81,3,3
WT,7537.626,4,3
WT,4269.453,5,3
WT,37562.436,6,3
WT,11544.16,7,3
WT,9272.151,8,3
WT,2160.263,9,3
WT,3263.266,10,3
