Treatments,mOD_min_mg_protein,Block
CT,10116.51,1
CT,5817.999,2
CT,11645.662,3
CT,11371.572,4
CT,9253.182,5
CT,16573.733,6
CT,10480.625,7
CT,6572.003,8
CT,7746.895,9
MU,20129.273,1
MU,10517.582,2
MU,6902.732,3
MU,7454.182,4
MU,10773.768,5
MU,12981.939,6
MU,10158.597,7
MU,7832.538,8
MU,17164.576,9
PT,9163.678,1
PT,21450.711,2
PT,9854.559,3
PT,7379.344,4
PT,11132.093,5
PT,8997.876,6
PT,6398.834,7
PT,7180.404,8
PT,9918.108,9
WT,9521.287,1
WT,10177.851,2
WT,6350.585,3
WT,8085.306,4
WT,10724.508,5
WT,8307.217,6
WT,6992.72,7
WT,8449.532,8
WT,9469.624,9
