Treatments,mOD_min_mg_protein,Block,Trials
CT,10116.51,1,1
CT,5817.999,2,1
CT,11645.662,3,1
CT,11371.572,4,1
CT,9253.182,5,1
CT,16573.733,6,1
CT,10480.625,7,1
CT,6572.003,8,1
CT,7746.895,9,1
MU,20129.273,1,1
MU,10517.582,2,1
MU,6902.732,3,1
MU,7454.182,4,1
MU,10773.768,5,1
MU,12981.939,6,1
MU,10158.597,7,1
MU,7832.538,8,1
MU,17164.576,9,1
PT,9163.678,1,1
PT,21450.711,2,1
PT,9854.559,3,1
PT,7379.344,4,1
PT,11132.093,5,1
PT,8997.876,6,1
PT,6398.834,7,1
PT,7180.404,8,1
PT,9918.108,9,1
WT,9521.287,1,1
WT,10177.851,2,1
WT,6350.585,3,1
WT,8085.306,4,1
WT,10724.508,5,1
WT,8307.217,6,1
WT,6992.72,7,1
WT,8449.532,8,1
WT,9469.624,9,1
CT,3270.969,1,2
CT,5225.326,2,2
CT,4201.208,3,2
CT,4122.265,4,2
CT,2633.285,5,2
CT,4485.285,6,2
CT,4803.274,7,2
CT,4649.527,8,2
CT,4427.187,9,2
CT,4815.225,10,2
MU,3806.802,1,2
MU,6149.815,2,2
MU,7799.353,3,2
MU,7266.629,4,2
MU,4623.985,5,2
MU,6844.576,6,2
MU,5241.901,7,2
MU,4988.618,8,2
MU,6046.119,9,2
MU,5021.764,10,2
PT,3921.994,1,2
PT,6754.651,2,2
PT,6126.022,3,2
PT,4795.655,4,2
PT,3251.311,5,2
PT,4958.674,6,2
PT,7061.66,7,2
PT,5058.812,8,2
PT,5040.54,9,2
PT,3679.509,10,2
WT,7208.373,1,2
WT,6833.22,2,2
WT,7438.324,3,2
WT,5110.711,4,2
WT,3811.487,5,2
WT,6898.554,6,2
WT,6505.878,7,2
WT,5351.627,8,2
WT,7278.144,9,2
WT,5672.679,10,2
