Treatments,mOD_min_mg_protein,Block
CT,3418.093,1
CT,6034.014,2
CT,4044.164,3
CT,3903.497,4
CT,2374.8,5
CT,5290.497,6
CT,5075.78,7
CT,4516.137,8
CT,4250.807,9
CT,4678.559,10
MU,4313.106,1
MU,8129.756,2
MU,12608.156,3
MU,10106.73,4
MU,5628.61,5
MU,8205.991,6
MU,8356.266,7
MU,8220.613,8
MU,6480.526,9
MU,7422.279,10
PT,3950.561,1
PT,11830.201,2
PT,7095.834,3
PT,5032.459,4
PT,3381.496,5
PT,5140.504,6
PT,11645.884,7
PT,5545.187,8
PT,5906.566,9
PT,3525.733,10
WT,15683.469,1
WT,8608.258,2
WT,29555.748,3
WT,7261.509,4
WT,5809.154,5
WT,8429.178,6
WT,9499.736,7
WT,6064.814,8
WT,12288.514,9
WT,6490.501,10
