Treatments,Inhibition_mg_protein,Block,Trials
CT,3250,1,1
CT,4130,2,1
CT,2910,3,1
CT,3650,4,1
CT,3130,5,1
CT,2020,6,1
MU,12400,1,1
MU,7020,2,1
MU,5970,3,1
MU,2720,4,1
MU,3320,5,1
MU,1280,6,1
PT,8870,1,1
PT,7240,2,1
PT,4390,3,1
PT,4120,4,1
PT,2930,5,1
PT,175,6,1
WT,3740,1,1
WT,2940,2,1
WT,4330,3,1
WT,2710,4,1
WT,4900,5,1
WT,6000,6,1
CT,3350,1,2
CT,2390,2,2
CT,1540,3,2
CT,1720,4,2
CT,2810,5,2
CT,1170,6,2
MU,1610,1,2
MU,2720,2,2
MU,2690,3,2
MU,2140,5,2
MU,2910,6,2
PT,2090,1,2
PT,2930,2,2
PT,2820,3,2
PT,1930,4,2
PT,2840,5,2
PT,1640,6,2
WT,6030,1,2
WT,2510,2,2
WT,3430,3,2
WT,4820,4,2
WT,5590,5,2
WT,3450,6,2
CT,3060,1,3
CT,2440,2,3
CT,3230,3,3
CT,3830,4,3
CT,2100,5,3
CT,3030,6,3
CT,1370,7,3
CT,3580,8,3
CT,1860,9,3
CT,2270,10,3
MU,4830,1,3
MU,6090,2,3
MU,4210,3,3
MU,6990,4,3
MU,4420,5,3
MU,4770,6,3
MU,5620,7,3
MU,8790,8,3
MU,4340,9,3
MU,7810,10,3
PT,2540,1,3
PT,3240,2,3
PT,2960,3,3
PT,7630,4,3
PT,3660,5,3
PT,3460,6,3
PT,4740,7,3
PT,5880,8,3
PT,4680,9,3
PT,1790,10,3
WT,6390,1,3
WT,3580,2,3
WT,8046.442,3,3
WT,2190,4,3
WT,6300,5,3
WT,13056.774,6,3
WT,22400,8,3
WT,6850,9,3
WT,6830,10,3
